FileName,EmoClass,EmoAct,EmoVal,EmoDom,SpkrID,Gender,Split_Set
MSP-PODCAST_0003_0084.wav,N,2.2,4.0,3.6,3,Male,Train
MSP-PODCAST_0003_0444.wav,X,3.2,3.6,3.4,3,Male,Train
MSP-PODCAST_0003_0548.wav,X,3.2,3.0,3.4,3,Male,Train
MSP-PODCAST_0003_0605.wav,N,4.238095,3.761905,4.904762,3,Male,Train
MSP-PODCAST_0023_0246.wav,H,4.0,5.2,4.4,1,Male,Train
MSP-PODCAST_0023_0247.wav,H,5.454545,5.272727,4.818182,1,Male,Train
MSP-PODCAST_0023_0356.wav,X,3.0,4.2,3.8,163,Male,Train
MSP-PODCAST_0023_0473.wav,X,3.4,5.2,4.0,163,Male,Train
MSP-PODCAST_0023_0589.wav,H,4.4,5.8,4.4,1,Male,Train
MSP-PODCAST_0023_0691.wav,N,3.5,4.333333,3.833333,1,Male,Train
MSP-PODCAST_0059_0257.wav,H,5.473684,5.947368,5.157895,545,Male,Train
MSP-PODCAST_0061_0011.wav,N,2.833333,3.555556,3.777778,48,Male,Train
MSP-PODCAST_0061_0020.wav,N,2.2,3.6,3.2,48,Male,Train
MSP-PODCAST_0061_0022.wav,N,1.8,4.6,2.6,47,Male,Train
MSP-PODCAST_0061_0025.wav,N,2.352941,3.647059,3.352941,47,Male,Train
MSP-PODCAST_0061_0031.wav,N,2.6,3.8,3.0,48,Male,Train
MSP-PODCAST_0061_0148.wav,N,2.8,4.4,2.8,48,Male,Train
MSP-PODCAST_0061_0161.wav,N,2.6,3.8,3.4,47,Male,Train
MSP-PODCAST_0061_0217.wav,N,3.8,3.6,3.6,48,Male,Train
MSP-PODCAST_0061_0230.wav,N,4.4,3.4,5.0,48,Male,Train
MSP-PODCAST_0061_0251.wav,D,3.0,2.8,4.0,48,Male,Train
MSP-PODCAST_0061_0309.wav,N,1.6,4.0,3.0,48,Male,Train
MSP-PODCAST_0061_0311.wav,N,2.8,4.4,3.8,48,Male,Train
MSP-PODCAST_0061_0322.wav,N,3.4,4.0,3.4,48,Male,Train
MSP-PODCAST_0061_0328.wav,N,3.578947,4.684211,4.0,48,Male,Train
MSP-PODCAST_0061_0334.wav,N,3.294118,3.764706,4.411765,48,Male,Train
MSP-PODCAST_0061_0381.wav,N,2.0,4.2,2.8,48,Male,Train
MSP-PODCAST_0061_0430.wav,N,1.8,3.6,3.2,48,Male,Train
MSP-PODCAST_0061_0439.wav,N,2.0,3.6,3.4,48,Male,Train
MSP-PODCAST_0061_0462.wav,N,2.7,3.8,4.1,48,Male,Train
MSP-PODCAST_0083_0007.wav,X,4.0,4.2,4.0,286,Male,Train
MSP-PODCAST_0083_0063.wav,U,4.0,3.4,4.0,286,Male,Train
MSP-PODCAST_0087_0172.wav,N,3.058824,4.352941,4.058824,480,Male,Train
MSP-PODCAST_0091_0400.wav,X,5.388889,2.555556,5.277778,214,Female,Train
MSP-PODCAST_0094_0063.wav,N,3.4,3.4,3.6,535,Male,Train
MSP-PODCAST_0094_0064.wav,N,2.6,4.8,3.0,535,Male,Train
MSP-PODCAST_0094_0092.wav,N,2.888889,4.222222,2.611111,536,Male,Train
MSP-PODCAST_0099_0138.wav,N,3.111111,4.444444,4.055556,191,Male,Train
MSP-PODCAST_0099_0160.wav,N,4.888889,4.833333,5.166667,15,Male,Train
